"IndexName","Date","Total Returns Index","Net Total Return Index"
"NIFTY 500","11 Mar 2022","21873.99","20965.62"
"NIFTY 500","10 Mar 2022","21799.49","20894.32"
"NIFTY 500","09 Mar 2022","21477.68","20585.9"
"NIFTY 500","08 Mar 2022","21055.17","20181.69"
"NIFTY 500","07 Mar 2022","20836.23","19971.84"
"NIFTY 500","04 Mar 2022","21341.50","20456.15"
"NIFTY 500","03 Mar 2022","21714.47","20813.65"
"NIFTY 500","02 Mar 2022","21812.50","20907.62"
"NIFTY 500","28 Feb 2022","21978.65","21066.87"
"NIFTY 500","25 Feb 2022","21793.49","20889.39"
"NIFTY 500","24 Feb 2022","21159.69","20282.19"
"NIFTY 500","23 Feb 2022","22282.64","21358.64"
"NIFTY 500","22 Feb 2022","22254.97","21332.15"
"NIFTY 500","21 Feb 2022","22419.75","21490.69"
"NIFTY 500","18 Feb 2022","22588.37","21653.66"
"NIFTY 500","17 Feb 2022","22682.48","21743.89"
"NIFTY 500","16 Feb 2022","22706.70","21767.85"
"NIFTY 500","15 Feb 2022","22726.82","21788.03"
"NIFTY 500","14 Feb 2022","22103.72","21190.94"
"NIFTY 500","11 Feb 2022","22847.57","21906.3"
"NIFTY 500","10 Feb 2022","23186.39","22231.17"
"NIFTY 500","09 Feb 2022","23037.24","22088.65"
"NIFTY 500","08 Feb 2022","22788.92","21851.46"
"NIFTY 500","07 Feb 2022","22809.50","21871.24"
"NIFTY 500","04 Feb 2022","23138.74","22187"
"NIFTY 500","03 Feb 2022","23215.34","22260.63"
"NIFTY 500","02 Feb 2022","23452.49","22489.03"
"NIFTY 500","01 Feb 2022","23180.44","22228.24"
"NIFTY 500","31 Jan 2022","22881.58","21941.7"
"NIFTY 500","28 Jan 2022","22577.57","21650.19"
"NIFTY 500","27 Jan 2022","22510.82","21586.18"
"NIFTY 500","25 Jan 2022","22744.48","21810.3"
"NIFTY 500","24 Jan 2022","22560.17","21633.57"
"NIFTY 500","21 Jan 2022","23278.25","22322.31"
"NIFTY 500","20 Jan 2022","23554.44","22587.23"
"NIFTY 500","19 Jan 2022","23722.89","22749.3"
"NIFTY 500","18 Jan 2022","23875.70","22896.18"
"NIFTY 500","17 Jan 2022","24194.84","23202.22"
"NIFTY 500","14 Jan 2022","24116.52","23127.19"
"NIFTY 500","13 Jan 2022","24102.20","23113.46"
"NIFTY 500","12 Jan 2022","24020.69","23035.29"
"NIFTY 500","11 Jan 2022","23810.11","22833.35"
"NIFTY 500","10 Jan 2022","23756.45","22781.9"
"NIFTY 500","07 Jan 2022","23531.13","22565.82"
"NIFTY 500","06 Jan 2022","23441.51","22479.87"
"NIFTY 500","05 Jan 2022","23604.46","22636.15"
"NIFTY 500","04 Jan 2022","23485.37","22521.94"
"NIFTY 500","03 Jan 2022","23310.38","22354.13"
"NIFTY 500","31 Dec 2021","22990.88","22047.74"
"NIFTY 500","30 Dec 2021","22754.58","21821.13"
"NIFTY 500","29 Dec 2021","22785.85","21851.45"
"NIFTY 500","28 Dec 2021","22792.66","21857.98"
"NIFTY 500","27 Dec 2021","22577.60","21651.75"
"NIFTY 500","24 Dec 2021","22481.33","21559.42"
"NIFTY 500","23 Dec 2021","22614.17","21686.81"
"NIFTY 500","22 Dec 2021","22442.93","21522.61"
"NIFTY 500","21 Dec 2021","22164.77","21256.94"
"NIFTY 500","20 Dec 2021","21918.48","21020.74"
"NIFTY 500","17 Dec 2021","22489.29","21568.16"
"NIFTY 500","16 Dec 2021","22889.27","21952.58"
"NIFTY 500","15 Dec 2021","22914.80","21977.07"
"NIFTY 500","14 Dec 2021","23052.95","22109.58"
"NIFTY 500","13 Dec 2021","23085.13","22141.13"
"NIFTY 500","10 Dec 2021","23224.15","22274.46"
"NIFTY 500","09 Dec 2021","23180.65","22232.74"
"NIFTY 500","08 Dec 2021","23098.91","22154.34"
"NIFTY 500","07 Dec 2021","22733.04","21803.43"
"NIFTY 500","06 Dec 2021","22401.81","21485.75"
"NIFTY 500","03 Dec 2021","22766.46","21836.37"
"NIFTY 500","02 Dec 2021","22946.71","22013.74"
"NIFTY 500","01 Dec 2021","22656.71","21735.53"
"NIFTY 500","30 Nov 2021","22447.74","21535.06"
"NIFTY 500","29 Nov 2021","22460.10","21546.92"
"NIFTY 500","26 Nov 2021","22537.92","21621.58"
"NIFTY 500","25 Nov 2021","23217.37","22273.41"
"NIFTY 500","24 Nov 2021","23057.77","22120.32"
"NIFTY 500","23 Nov 2021","23150.31","22209.42"
"NIFTY 500","22 Nov 2021","22948.81","22016.23"
"NIFTY 500","18 Nov 2021","23443.76","22492.07"
"NIFTY 500","17 Nov 2021","23677.24","22716.07"
"NIFTY 500","16 Nov 2021","23783.60","22818.49"
"NIFTY 500","15 Nov 2021","23886.54","22917.25"
"NIFTY 500","12 Nov 2021","23865.63","22897.21"
"NIFTY 500","11 Nov 2021","23608.35","22650.38"
"NIFTY 500","10 Nov 2021","23772.02","22808.51"
"NIFTY 500","09 Nov 2021","23803.67","22838.96"
"NIFTY 500","08 Nov 2021","23768.47","22805.59"
"NIFTY 500","04 Nov 2021","23548.48","22594.66"
"NIFTY 500","03 Nov 2021","23404.31","22456.33"
"NIFTY 500","02 Nov 2021","23452.89","22502.99"
"NIFTY 500","01 Nov 2021","23431.96","22483.52"
"NIFTY 500","29 Oct 2021","23100.97","22166.05"
"NIFTY 500","28 Oct 2021","23259.72","22318.47"
"NIFTY 500","27 Oct 2021","23708.68","22749.36"
"NIFTY 500","26 Oct 2021","23731.73","22771.56"
"NIFTY 500","25 Oct 2021","23463.94","22517.99"
"NIFTY 500","22 Oct 2021","23563.80","22613.85"
"NIFTY 500","21 Oct 2021","23698.38","22743"
"NIFTY 500","20 Oct 2021","23820.00","22860.26"
"NIFTY 500","19 Oct 2021","24109.39","23138"
"NIFTY 500","18 Oct 2021","24305.72","23326.42"
"NIFTY 500","14 Oct 2021","24126.87","23154.77"
"NIFTY 500","13 Oct 2021","23914.47","22951.26"
"NIFTY 500","12 Oct 2021","23685.80","22741.36"
"NIFTY 500","11 Oct 2021","23603.30","22662.16"
"NIFTY 500","08 Oct 2021","23507.21","22569.9"
"NIFTY 500","07 Oct 2021","23392.45","22459.71"
"NIFTY 500","06 Oct 2021","23154.34","22231.09"
