Scheme_Code,Scheme_Name,AMC,Scheme_Type,Scheme_Category,Scheme_NAV_Name,Scheme_Min_Amt,NAV,Latest_NAV_Date,Average_AUM_Cr,Launch_Date,Closure_Date
100033,Aditya Birla Sun Life Large & Mid Cap Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Equity Scheme - Large & Mid Cap Fund,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,5000,863.47,2026-03-12,4555.9612,1995-02-24,1995-02-24
100034,Aditya Birla Sun Life Large & Mid Cap Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Equity Scheme - Large & Mid Cap Fund,Aditya Birla Sun Life Large & Mid Cap Fund -Regular - IDCW,5000,125.76,2026-03-12,487.7777,1995-02-24,1995-02-24
100037,Aditya Birla Sun Life Income Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW,5000,13.1391,2026-03-12,11.4141,1994-01-01,1994-01-01
100038,Aditya Birla Sun Life Income Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,Aditya Birla Sun Life Income Fund - Growth - Regular Plan,5000,127.2027,2026-03-12,817.0224000000001,1994-01-01,1994-01-01
100039,Aditya Birla Sun Life Income Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,Birla Income Plus-Institutional (Growth),5000,,,,1994-01-01,1994-01-01
100040,Aditya Birla Sun Life Income Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,Birla Income Plus-Institutional (Dividend),5000,,,,1994-01-01,1994-01-01
100041,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,Rs. 500/- and in multiples of Re. 1/- thereafter,108.023,2026-03-12,0.213,1997-06-04,1997-06-07
100042,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund-Retail (Growth),Rs. 500/- and in multiples of Re. 1/- thereafter,710.5452,2026-03-12,19.9264,1997-06-04,1997-06-07
100043,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund-Institutional (Growth),Rs. 500/- and in multiples of Re. 1/- thereafter,729.1664,2026-03-12,1.683,1997-06-04,1997-06-07
100044,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund -Retail - IDCW,Rs. 500/- and in multiples of Re. 1/- thereafter,163.694,2026-03-12,0.574,1997-06-04,1997-06-07
100046,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund -Daily IDCW,Rs. 500/- and in multiples of Re. 1/- thereafter,100.195,2026-03-12,84.4673,1997-06-04,1997-06-07
100047,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund - Growth,Rs. 500/- and in multiples of Re. 1/- thereafter,437.8534,2026-03-12,8697.0129,1997-06-04,1997-06-07
100048,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund -Institutional - weekly  IDCW,Rs. 500/- and in multiples of Re. 1/- thereafter,108.2738,2026-03-12,0.0619,1997-06-04,1997-06-07
100050,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Liquid Fund,Birla Cash Plus-Birla Cash Plus (Institutional Premium Weekly Dividend),Rs. 500/- and in multiples of Re. 1/- thereafter,,,,1997-06-04,1997-06-07
100051,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund -weekly IDCW,Rs. 500/- and in multiples of Re. 1/- thereafter,100.3069,2026-03-12,226.5737,1997-06-04,1997-06-07
100057,Aditya Birla Sun Life Government Securities Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Gilt Fund,Aditya Birla Sun Life Govenment Securities Fund -Regular - Quarterly IDCW,5000,10.8797,2026-03-12,3.5021,1999-10-12,1999-10-12
